pair,ts,net_frac,exit_type,mfe_frac,tp_frac,tsp,fold
NEARUSDT,2026-08-12 13:00:00+00:00,0.0005000000000000001,BE_STOP,0.0032661948829613933,0.006,2026-08-12 13:00:00+00:00,f1
SOLUSDT,2026-08-12 13:18:00+00:00,0.0005000000000000001,BE_STOP,0.003407088310162651,0.006,2026-08-12 13:18:00+00:00,f1
BTCUSDT,2026-08-12 13:33:00+00:00,0.0005000000000000001,BE_STOP,0.0030804732656138562,0.006,2026-08-12 13:33:00+00:00,f1
BTCUSDT,2026-08-12 13:42:00+00:00,0.0010000000000000002,FLOOR40,0.003695680673213227,0.006,2026-08-12 13:42:00+00:00,f1
ETHUSDT,2026-08-12 13:43:00+00:00,0.0010000000000000002,FLOOR40,0.003653997378768035,0.006,2026-08-12 13:43:00+00:00,f1
BTCUSDT,2026-08-12 13:43:00+00:00,0.0005000000000000001,BE_STOP,0.0035168341312421135,0.006,2026-08-12 13:43:00+00:00,f1
BTCUSDT,2026-08-12 14:02:00+00:00,0.004600000000000001,TP,0.0064114979008396645,0.006,2026-08-12 14:02:00+00:00,f1
ETHUSDT,2026-08-12 14:02:00+00:00,0.004600000000000001,TP,0.0060076460950300664,0.006,2026-08-12 14:02:00+00:00,f1
BTCUSDT,2026-08-12 14:03:00+00:00,0.004600000000000001,TP,0.006119447999537425,0.006,2026-08-12 14:03:00+00:00,f1
BTCUSDT,2026-08-12 14:03:00+00:00,0.004600000000000001,TP,0.006141191141058317,0.006,2026-08-12 14:03:00+00:00,f1
ETHUSDT,2026-08-12 14:03:00+00:00,0.004600000000000001,TP,0.006565677788049416,0.006,2026-08-12 14:03:00+00:00,f1
NEARUSDT,2026-08-12 14:31:00+00:00,0.004600000000000001,TP,0.0073398984647379106,0.006,2026-08-12 14:31:00+00:00,f1
SOLUSDT,2026-08-12 14:32:00+00:00,0.0005000000000000001,BE_STOP,0.003072540978202156,0.006,2026-08-12 14:32:00+00:00,f1
BTCUSDT,2026-08-12 14:32:00+00:00,0.0010000000000000002,FLOOR40,0.0037543497428592504,0.006,2026-08-12 14:32:00+00:00,f1
NEARUSDT,2026-08-12 14:35:00+00:00,-0.0264,MAE_KILL,0.0027203482045702883,0.006,2026-08-12 14:35:00+00:00,f1
NEARUSDT,2026-08-12 14:35:00+00:00,-0.0264,MAE_KILL,0.0,0.006,2026-08-12 14:35:00+00:00,f1
ETHUSDT,2026-08-12 15:02:00+00:00,0.0005000000000000001,BE_STOP,0.0032656388108204563,0.006,2026-08-12 15:02:00+00:00,f1
BTCUSDT,2026-08-12 15:05:00+00:00,0.0010000000000000002,FLOOR40,0.004384605582152034,0.006,2026-08-12 15:05:00+00:00,f1
BTCUSDT,2026-08-12 15:07:00+00:00,0.0010000000000000002,FLOOR40,0.005422004853087243,0.006,2026-08-12 15:07:00+00:00,f1
BTCUSDT,2026-08-12 15:07:00+00:00,0.0010000000000000002,FLOOR40,0.0053610412144777745,0.006,2026-08-12 15:07:00+00:00,f1
BTCUSDT,2026-08-12 15:07:00+00:00,0.0010000000000000002,FLOOR40,0.005225018469905866,0.006,2026-08-12 15:07:00+00:00,f1
BTCUSDT,2026-08-12 15:18:00+00:00,0.0010000000000000002,FLOOR40,0.005840732432245664,0.006,2026-08-12 15:18:00+00:00,f1
BTCUSDT,2026-08-12 15:18:00+00:00,0.0010000000000000002,FLOOR40,0.005756390315941642,0.006,2026-08-12 15:18:00+00:00,f1
SOLUSDT,2026-08-12 15:22:00+00:00,0.0005000000000000001,BE_STOP,0.0030283394385008954,0.006,2026-08-12 15:22:00+00:00,f1
NEARUSDT,2026-08-12 17:21:00+00:00,0.0005000000000000001,BE_STOP,0.003052689419378543,0.006,2026-08-12 17:21:00+00:00,f1
XRPUSDT,2026-08-12 17:33:00+00:00,0.0010000000000000002,FLOOR40,0.004157181035336021,0.006,2026-08-12 17:33:00+00:00,f1
ETHUSDT,2026-08-12 20:24:00+00:00,0.0010000000000000002,FLOOR40,0.005381132635641702,0.006,2026-08-12 20:24:00+00:00,f1
ETHUSDT,2026-08-12 21:06:00+00:00,0.0005000000000000001,BE_STOP,0.003053475651850672,0.006,2026-08-12 21:06:00+00:00,f1
NEARUSDT,2026-08-12 21:59:00+00:00,0.004600000000000001,TP,0.008363569276182311,0.006,2026-08-12 21:59:00+00:00,f1
SOLUSDT,2026-08-13 04:23:00+00:00,0.0010000000000000002,FLOOR40,0.005774098291499715,0.006,2026-08-13 04:23:00+00:00,f1
BTCUSDT,2026-08-13 05:01:00+00:00,0.0010000000000000002,FLOOR40,0.003931435265147588,0.006,2026-08-13 05:01:00+00:00,f1
ETHUSDT,2026-08-13 05:19:00+00:00,0.0010000000000000002,FLOOR40,0.00368319259345364,0.006,2026-08-13 05:19:00+00:00,f1
ETHUSDT,2026-08-13 05:22:00+00:00,0.0005000000000000001,BE_STOP,0.003365064607127329,0.006,2026-08-13 05:22:00+00:00,f1
ETHUSDT,2026-08-13 06:02:00+00:00,0.0010000000000000002,FLOOR40,0.004718503197685101,0.006,2026-08-13 06:02:00+00:00,f1
NEARUSDT,2026-08-13 09:14:00+00:00,0.004600000000000001,TP,0.006494677972217297,0.006,2026-08-13 09:14:00+00:00,f1
