pair,ts,net_frac,exit_type,variant,k,mfe_frac,hold_min
NEARUSDT,2026-08-12 13:00:00+00:00,0.0005,BE_STOP,base,1.6,0.0032661948829613933,15.0
SOLUSDT,2026-08-12 13:18:00+00:00,0.0005,BE_STOP,base,1.6,0.003407088310162651,20.0
BTCUSDT,2026-08-12 13:33:00+00:00,0.0005,BE_STOP,base,1.6,0.0030804732656138562,27.0
BTCUSDT,2026-08-12 13:43:00+00:00,0.0005,BE_STOP,base,1.6,0.0035168341312421135,51.0
BTCUSDT,2026-08-12 13:45:00+00:00,0.0005,BE_STOP,base,1.6,0.003695680673213227,62.0
ETHUSDT,2026-08-12 13:47:00+00:00,0.0005,BE_STOP,base,1.6,0.003653997378768035,60.0
NEARUSDT,2026-08-12 13:56:00+00:00,0.0046,TP,base,1.6,0.007027747485762786,11.0
BTCUSDT,2026-08-12 14:02:00+00:00,0.0046,TP,base,1.6,0.0064114979008396645,59.0
BTCUSDT,2026-08-12 14:03:00+00:00,0.0046,TP,base,1.6,0.006119447999537425,73.0
BTCUSDT,2026-08-12 14:03:00+00:00,0.0046,TP,base,1.6,0.006141191141058317,45.0
SOLUSDT,2026-08-12 14:03:00+00:00,0.0046,TP,base,1.6,0.006058062993365022,20.0
BTCUSDT,2026-08-12 14:11:00+00:00,0.0005,BE_STOP,base,1.6,0.005090424275048829,14.0
NEARUSDT,2026-08-12 14:31:00+00:00,0.0046,TP,base,1.6,0.0073398984647379106,20.0
SOLUSDT,2026-08-12 14:32:00+00:00,0.0005,BE_STOP,base,1.6,0.003072540978202156,27.0
NEARUSDT,2026-08-12 14:35:00+00:00,-0.0264,MAE_KILL,base,1.6,0.0027203482045702883,99.0
NEARUSDT,2026-08-12 14:35:00+00:00,-0.0264,MAE_KILL,base,1.6,0.0,62.0
BTCUSDT,2026-08-12 14:59:00+00:00,0.0046,TP,base,1.6,0.006195539964292124,50.0
ETHUSDT,2026-08-12 15:02:00+00:00,0.0005,BE_STOP,base,1.6,0.0032656388108204563,27.0
BTCUSDT,2026-08-12 15:18:00+00:00,0.0005,BE_STOP,base,1.6,0.005422004853087243,71.0
BTCUSDT,2026-08-12 15:18:00+00:00,0.0005,BE_STOP,base,1.6,0.0053610412144777745,45.0
BTCUSDT,2026-08-12 15:18:00+00:00,0.0005,BE_STOP,base,1.6,0.005225018469905866,41.0
BTCUSDT,2026-08-12 15:43:00+00:00,0.0005,BE_STOP,base,1.6,0.005756390315941642,72.0
NEARUSDT,2026-08-12 17:21:00+00:00,0.0005,BE_STOP,base,1.6,0.003052689419378543,118.0
ETHUSDT,2026-08-12 20:27:00+00:00,0.0005,BE_STOP,base,1.6,0.005381132635641702,185.0
ETHUSDT,2026-08-12 20:29:00+00:00,0.0005,BE_STOP,base,1.6,0.005781725296505571,330.0
BTCUSDT,2026-08-12 20:38:00+00:00,0.0005,BE_STOP,base,1.6,0.005840732432245664,395.0
ETHUSDT,2026-08-12 21:06:00+00:00,0.0005,BE_STOP,base,1.6,0.003053475651850672,39.0
NEARUSDT,2026-08-12 21:59:00+00:00,0.0046,TP,base,1.6,0.008363569276182311,53.0
SOLUSDT,2026-08-13 04:22:00+00:00,0.0005,BE_STOP,base,1.6,0.004555748670142777,464.0
ETHUSDT,2026-08-13 05:06:00+00:00,0.0046,TP,base,1.6,0.00749640310686628,517.0
BTCUSDT,2026-08-13 05:15:00+00:00,0.0046,TP,base,1.6,0.007321255099293538,837.0
BTCUSDT,2026-08-13 05:15:00+00:00,0.0046,TP,base,1.6,0.007378353994089106,811.0
ETHUSDT,2026-08-13 05:22:00+00:00,0.0005,BE_STOP,base,1.6,0.003365064607127329,842.0
NEARUSDT,2026-08-13 08:48:00+00:00,0.0005,BE_STOP,base,1.6,0.003481810541481587,213.0
NEARUSDT,2026-08-13 09:09:00+00:00,0.0046,TP,base,1.6,0.006370958047842255,21.0
NEARUSDT,2026-08-13 09:14:00+00:00,0.0046,TP,base,1.6,0.006494677972217297,231.0
ETHUSDT,2026-08-13 11:45:00+00:00,0.0005,BE_STOP,base,1.6,0.004116690924157273,150.0
BTCUSDT,2026-08-13 11:47:00+00:00,0.0005,BE_STOP,base,1.6,0.004037325205208372,445.0
NEARUSDT,2026-08-13 11:51:00+00:00,0.0046,TP,base,1.6,0.006876168647083573,6.0
ETHUSDT,2026-08-13 12:07:00+00:00,0.0005,BE_STOP,base,1.6,0.0053266273005565185,177.0
BTCUSDT,2026-08-13 12:31:00+00:00,0.0005,BE_STOP,base,1.6,0.003509540529125946,40.0
ETHUSDT,2026-08-13 12:32:00+00:00,0.0005,BE_STOP,base,1.6,0.005240114271730466,45.0
