pair,i,dir,atr_frac,mfe,mae,ret30,ret240,t0.6_s1.0,t0.6_s1.5,t0.6_s2.0,t1.0_s1.0,t1.0_s1.5,t1.0_s2.0,t1.6_s1.0,t1.6_s1.5,t1.6_s2.0,premise,variant,ts
BTCUSDT,109,-1,0.0010210367007528417,0.0055814128894183255,0.0042300572911919436,0.0003598377116207382,0.0036643735523996675,-0.0007873779795482949,-0.0007873779795482949,-0.0007873779795482949,-0.0024210367007528417,-0.002931555051129263,-0.0034420734015056832,-0.0024210367007528417,-0.002931555051129263,-0.0034420734015056832,MSS,M1_break_close,2026-08-12 14:02:00+00:00
BTCUSDT,109,1,0.0010210367007528417,0.0042300572911919436,0.0055814128894183255,-0.0003598377116207382,-0.0036643735523996675,-0.0007873779795482949,-0.0007873779795482949,-0.0007873779795482949,-0.00037896329924715826,-0.00037896329924715826,-0.00037896329924715826,0.0002336587212045469,0.0002336587212045469,0.0002336587212045469,MSS,M1_break_close,2026-08-12 14:02:00+00:00
BTCUSDT,116,-1,0.0010304234339917136,0.007135304066244786,0.0026608345858291503,0.002762812326441707,0.004673718296689355,-0.0024304234339917134,-0.0029456351509875704,-0.0034608468679834274,-0.0024304234339917134,-0.0029456351509875704,-0.0034608468679834274,-0.0024304234339917134,-0.0029456351509875704,-0.0034608468679834274,MSS,M2_retest,2026-08-12 14:09:00+00:00
BTCUSDT,116,1,0.0010304234339917136,0.0026608345858291503,0.007135304066244786,-0.002762812326441707,-0.004673718296689355,-0.0007817459396049719,-0.0007817459396049719,-0.0007817459396049719,-0.0003695765660082864,-0.0003695765660082864,-0.0003695765660082864,0.00024867749438674193,0.00024867749438674193,0.00024867749438674193,MSS,M2_retest,2026-08-12 14:09:00+00:00
BTCUSDT,136,-1,0.0008265145601490026,0.005461080178086218,0.000682045697061726,0.00437986487951831,0.0033159364534566674,-0.0009040912639105984,-0.0009040912639105984,-0.0009040912639105984,-0.0005734854398509974,-0.0005734854398509974,-0.0005734854398509974,-7.757670376159586e-05,-7.757670376159586e-05,-7.757670376159586e-05,MSS,M1_break_close,2026-08-12 14:29:00+00:00
BTCUSDT,136,1,0.0008265145601490026,0.000682045697061726,0.005461080178086218,-0.00437986487951831,-0.0033159364534566674,-0.0022265145601490025,-0.0026397718402235036,-0.003053029120298005,-0.0022265145601490025,-0.0026397718402235036,-0.003053029120298005,-0.0022265145601490025,-0.0026397718402235036,-0.003053029120298005,MSS,M1_break_close,2026-08-12 14:29:00+00:00
BTCUSDT,139,-1,0.0009668365301852776,0.005223454773810149,0.0007875265849168782,0.0033874646516884664,0.001986893419830288,-0.0008198980818888334,-0.0008198980818888334,-0.0008198980818888334,-0.00043316346981472236,-0.00043316346981472236,-0.00043316346981472236,0.00014693844829644434,0.00014693844829644434,0.00014693844829644434,MSS,M2_retest,2026-08-12 14:32:00+00:00
BTCUSDT,139,1,0.0009668365301852776,0.0007875265849168782,0.005223454773810149,-0.0033874646516884664,-0.001986893419830288,-0.0008198980818888334,-0.0008198980818888334,-0.0008198980818888334,-0.0023668365301852774,-0.0028502547952779164,-0.0033336730603705554,-0.0023668365301852774,-0.0028502547952779164,-0.0033336730603705554,MSS,M2_retest,2026-08-12 14:32:00+00:00
BTCUSDT,1704,-1,0.000879089261266934,0.006881625916522588,0.004021791024955995,0.002845606857280169,-0.0028740629258529014,-0.0008725464432398397,-0.0008725464432398397,-0.0008725464432398397,-0.000520910738733066,-0.000520910738733066,-0.000520910738733066,6.542818027094419e-06,6.542818027094419e-06,6.542818027094419e-06,MSS,M1_break_close,2026-08-13 16:37:00+00:00
BTCUSDT,1704,1,0.000879089261266934,0.004021791024955995,0.006881625916522588,-0.002845606857280169,0.0028740629258529014,-0.002279089261266934,-0.002718633891900401,-0.003158178522533868,-0.002279089261266934,-0.002718633891900401,-0.003158178522533868,-0.002279089261266934,-0.002718633891900401,-0.003158178522533868,MSS,M1_break_close,2026-08-13 16:37:00+00:00
BTCUSDT,1706,-1,0.0011100955595271592,0.0036652752049128098,0.007273453954881205,-0.000997601948892352,-0.005949133402695045,-0.0007339426642837046,-0.0007339426642837046,-0.0007339426642837046,-0.0002899044404728408,-0.0002899044404728408,-0.0002899044404728408,0.0003761528952434547,0.0003761528952434547,0.0003761528952434547,MSS,M1_break_close,2026-08-13 16:39:00+00:00
BTCUSDT,1706,1,0.0011100955595271592,0.007273453954881205,0.0036652752049128098,0.000997601948892352,0.005949133402695045,-0.0025100955595271594,-0.003065143339290739,-0.0036201911190543185,-0.0025100955595271594,-0.003065143339290739,-0.0036201911190543185,-0.0025100955595271594,-0.003065143339290739,-0.0036201911190543185,MSS,M1_break_close,2026-08-13 16:39:00+00:00
BTCUSDT,1708,-1,0.0012569336408564673,0.0008588592122988639,0.01011068150478503,-0.0040700383782829724,-0.008233915077909734,-0.0006458398154861197,-0.0006458398154861197,-0.0006458398154861197,-0.002656933640856467,-0.003285400461284701,-0.003913867281712935,-0.002656933640856467,-0.003285400461284701,-0.003913867281712935,MSS,M1_break_close,2026-08-13 16:41:00+00:00
BTCUSDT,1708,1,0.0012569336408564673,0.01011068150478503,0.0008588592122988639,0.0040700383782829724,0.008233915077909734,-0.0006458398154861197,-0.0006458398154861197,-0.0006458398154861197,-0.0001430663591435327,-0.0001430663591435327,-0.0001430663591435327,0.0006110938253703479,0.0006110938253703479,0.0006110938253703479,MSS,M1_break_close,2026-08-13 16:41:00+00:00
BTCUSDT,1711,-1,0.001287016614503214,0.0010337419075158046,0.008490657418567091,-0.0022199250179833446,-0.006740759443017955,-0.0006277900312980717,-0.0006277900312980717,-0.0006277900312980717,-0.002687016614503214,-0.0033305249217548205,-0.003974033229006428,-0.002687016614503214,-0.0033305249217548205,-0.003974033229006428,MSS,M2_retest,2026-08-13 16:44:00+00:00
BTCUSDT,1711,1,0.001287016614503214,0.008490657418567091,0.0010337419075158046,0.0022199250179833446,0.006740759443017955,-0.0006277900312980717,-0.0006277900312980717,-0.0006277900312980717,-0.00011298338549678606,-0.00011298338549678606,-0.00011298338549678606,0.0006592265832051426,0.0006592265832051426,0.0006592265832051426,MSS,M2_retest,2026-08-13 16:44:00+00:00
BTCUSDT,7292,1,0.0008470274678907428,0.012012389544632284,0.0012461832690860576,0.0010937497544563001,0.009859462585429465,-0.002247027467890743,-0.0008917835192655543,-0.0008917835192655543,-0.002247027467890743,-0.0005529725321092571,-0.0005529725321092571,-0.002247027467890743,-4.475605137481127e-05,-4.475605137481127e-05,MSS,M2_retest,2026-08-17 13:45:00+00:00
BTCUSDT,7292,-1,0.0008470274678907428,0.0012461832690860576,0.012012389544632284,-0.0010937497544563001,-0.009859462585429465,-0.0008917835192655543,-0.0008917835192655543,-0.0008917835192655543,-0.0005529725321092571,-0.0005529725321092571,-0.0005529725321092571,-0.002247027467890743,-0.002670541201836114,-0.003094054935781486,MSS,M2_retest,2026-08-17 13:45:00+00:00
