pair,ts,net_frac,exit_type,hold_min,slots_at_entry,pair_open_at_entry,regime
NEARUSDT,2026-08-12 13:00:00+00:00,0.0005000000000000001,BE_STOP,15.0,2,0,
SOLUSDT,2026-08-12 13:18:00+00:00,0.0005000000000000001,BE_STOP,20.0,7,0,
BTCUSDT,2026-08-12 13:33:00+00:00,0.0005000000000000001,BE_STOP,27.0,8,4,
BTCUSDT,2026-08-12 13:43:00+00:00,0.0005000000000000001,BE_STOP,51.0,5,2,
BTCUSDT,2026-08-12 13:45:00+00:00,0.0005000000000000001,BE_STOP,62.0,1,0,
ETHUSDT,2026-08-12 13:47:00+00:00,0.0005000000000000001,BE_STOP,60.0,3,0,
NEARUSDT,2026-08-12 13:56:00+00:00,0.004600000000000001,TP,11.0,8,2,
BTCUSDT,2026-08-12 14:02:00+00:00,0.004600000000000001,TP,59.0,7,3,
BTCUSDT,2026-08-12 14:03:00+00:00,0.004600000000000001,TP,73.0,4,1,
BTCUSDT,2026-08-12 14:03:00+00:00,0.004600000000000001,TP,45.0,8,5,
SOLUSDT,2026-08-12 14:03:00+00:00,0.004600000000000001,TP,20.0,8,0,
BTCUSDT,2026-08-12 14:11:00+00:00,0.0005000000000000001,BE_STOP,14.0,8,4,
NEARUSDT,2026-08-12 14:31:00+00:00,0.004600000000000001,TP,20.0,8,2,
SOLUSDT,2026-08-12 14:32:00+00:00,0.0005000000000000001,BE_STOP,27.0,6,0,
NEARUSDT,2026-08-12 14:35:00+00:00,-0.0264,MAE_KILL,99.0,6,1,
NEARUSDT,2026-08-12 14:35:00+00:00,-0.0264,MAE_KILL,62.0,8,1,
BTCUSDT,2026-08-12 14:59:00+00:00,0.004600000000000001,TP,50.0,8,4,
ETHUSDT,2026-08-12 15:02:00+00:00,0.0005000000000000001,BE_STOP,27.0,7,0,
BTCUSDT,2026-08-12 15:18:00+00:00,0.0005000000000000001,BE_STOP,71.0,7,3,
BTCUSDT,2026-08-12 15:18:00+00:00,0.0005000000000000001,BE_STOP,45.0,8,5,
BTCUSDT,2026-08-12 15:18:00+00:00,0.0005000000000000001,BE_STOP,41.0,8,6,
BTCUSDT,2026-08-12 15:43:00+00:00,0.0005000000000000001,BE_STOP,72.0,8,4,
NEARUSDT,2026-08-12 17:21:00+00:00,0.0005000000000000001,BE_STOP,118.0,8,0,
ETHUSDT,2026-08-12 20:27:00+00:00,0.0005000000000000001,BE_STOP,185.0,8,2,
ETHUSDT,2026-08-12 20:29:00+00:00,0.0005000000000000001,BE_STOP,330.0,8,1,
BTCUSDT,2026-08-12 20:38:00+00:00,0.0005000000000000001,BE_STOP,395.0,5,2,
ETHUSDT,2026-08-12 21:06:00+00:00,0.0005000000000000001,BE_STOP,39.0,8,2,CHOP
NEARUSDT,2026-08-12 21:59:00+00:00,0.004600000000000001,TP,53.0,8,0,CHOP
SOLUSDT,2026-08-13 04:22:00+00:00,0.0005000000000000001,BE_STOP,464.0,8,0,CHOP
ETHUSDT,2026-08-13 05:06:00+00:00,0.004600000000000001,TP,517.0,8,2,CHOP
BTCUSDT,2026-08-13 05:15:00+00:00,0.004600000000000001,TP,837.0,6,4,
BTCUSDT,2026-08-13 05:15:00+00:00,0.004600000000000001,TP,811.0,8,4,
ETHUSDT,2026-08-13 05:22:00+00:00,0.0005000000000000001,BE_STOP,842.0,7,1,
NEARUSDT,2026-08-13 08:48:00+00:00,0.0005000000000000001,BE_STOP,213.0,7,0,CHOP
NEARUSDT,2026-08-13 09:09:00+00:00,0.004600000000000001,TP,21.0,8,1,CHOP
NEARUSDT,2026-08-13 09:14:00+00:00,0.004600000000000001,TP,231.0,8,1,CHOP
ETHUSDT,2026-08-13 11:45:00+00:00,0.0005000000000000001,BE_STOP,150.0,8,2,CHOP
BTCUSDT,2026-08-13 11:47:00+00:00,0.0005000000000000001,BE_STOP,445.0,8,5,CHOP
NEARUSDT,2026-08-13 11:51:00+00:00,0.004600000000000001,TP,6.0,8,0,CHOP
ETHUSDT,2026-08-13 12:07:00+00:00,0.0005000000000000001,BE_STOP,177.0,8,1,CHOP
BTCUSDT,2026-08-13 12:31:00+00:00,0.0005000000000000001,BE_STOP,40.0,8,4,CHOP
