pair,ts,net_frac,exit_type,hold_min,slots_at_entry,pair_open_at_entry,regime,ts_parsed,fold
NEARUSDT,2026-08-12 13:00:00+00:00,0.0005000000000000001,BE_STOP,15.0,2,0,,2026-08-12 13:00:00+00:00,fold1
SOLUSDT,2026-08-12 13:18:00+00:00,0.0005000000000000001,BE_STOP,20.0,7,0,,2026-08-12 13:18:00+00:00,fold1
BTCUSDT,2026-08-12 13:33:00+00:00,0.0005000000000000001,BE_STOP,27.0,8,4,,2026-08-12 13:33:00+00:00,fold1
BTCUSDT,2026-08-12 13:43:00+00:00,0.0005000000000000001,BE_STOP,51.0,5,2,,2026-08-12 13:43:00+00:00,fold1
BTCUSDT,2026-08-12 13:45:00+00:00,0.0005000000000000001,BE_STOP,62.0,1,0,,2026-08-12 13:45:00+00:00,fold1
ETHUSDT,2026-08-12 13:47:00+00:00,0.0005000000000000001,BE_STOP,60.0,3,0,,2026-08-12 13:47:00+00:00,fold1
NEARUSDT,2026-08-12 13:56:00+00:00,0.004600000000000001,TP,11.0,8,2,,2026-08-12 13:56:00+00:00,fold1
BTCUSDT,2026-08-12 14:02:00+00:00,0.004600000000000001,TP,59.0,7,3,,2026-08-12 14:02:00+00:00,fold1
BTCUSDT,2026-08-12 14:03:00+00:00,0.004600000000000001,TP,73.0,4,1,,2026-08-12 14:03:00+00:00,fold1
BTCUSDT,2026-08-12 14:03:00+00:00,0.004600000000000001,TP,45.0,8,5,,2026-08-12 14:03:00+00:00,fold1
SOLUSDT,2026-08-12 14:03:00+00:00,0.004600000000000001,TP,20.0,8,0,,2026-08-12 14:03:00+00:00,fold1
BTCUSDT,2026-08-12 14:11:00+00:00,0.0005000000000000001,BE_STOP,14.0,8,4,,2026-08-12 14:11:00+00:00,fold1
NEARUSDT,2026-08-12 14:31:00+00:00,0.004600000000000001,TP,20.0,8,2,,2026-08-12 14:31:00+00:00,fold1
SOLUSDT,2026-08-12 14:32:00+00:00,0.0005000000000000001,BE_STOP,27.0,6,0,,2026-08-12 14:32:00+00:00,fold1
NEARUSDT,2026-08-12 14:35:00+00:00,-0.0264,MAE_KILL,99.0,6,1,,2026-08-12 14:35:00+00:00,fold1
NEARUSDT,2026-08-12 14:35:00+00:00,-0.0264,MAE_KILL,62.0,8,1,,2026-08-12 14:35:00+00:00,fold1
BTCUSDT,2026-08-12 14:59:00+00:00,0.004600000000000001,TP,50.0,8,4,,2026-08-12 14:59:00+00:00,fold1
ETHUSDT,2026-08-12 15:02:00+00:00,0.0005000000000000001,BE_STOP,27.0,7,0,,2026-08-12 15:02:00+00:00,fold1
BTCUSDT,2026-08-12 15:18:00+00:00,0.0005000000000000001,BE_STOP,71.0,7,3,,2026-08-12 15:18:00+00:00,fold1
BTCUSDT,2026-08-12 15:18:00+00:00,0.0005000000000000001,BE_STOP,45.0,8,5,,2026-08-12 15:18:00+00:00,fold1
BTCUSDT,2026-08-12 15:18:00+00:00,0.0005000000000000001,BE_STOP,41.0,8,6,,2026-08-12 15:18:00+00:00,fold1
BTCUSDT,2026-08-12 15:43:00+00:00,0.0005000000000000001,BE_STOP,72.0,8,4,,2026-08-12 15:43:00+00:00,fold1
NEARUSDT,2026-08-12 17:21:00+00:00,0.0005000000000000001,BE_STOP,118.0,8,0,,2026-08-12 17:21:00+00:00,fold1
ETHUSDT,2026-08-12 20:27:00+00:00,0.0005000000000000001,BE_STOP,185.0,8,2,,2026-08-12 20:27:00+00:00,fold1
ETHUSDT,2026-08-12 20:29:00+00:00,0.0005000000000000001,BE_STOP,330.0,8,1,,2026-08-12 20:29:00+00:00,fold1
BTCUSDT,2026-08-12 20:38:00+00:00,0.0005000000000000001,BE_STOP,395.0,5,2,,2026-08-12 20:38:00+00:00,fold1
NEARUSDT,2026-08-12 23:13:00+00:00,0.004600000000000001,TP,29.0,6,0,TREND,2026-08-12 23:13:00+00:00,fold1
NEARUSDT,2026-08-12 23:13:00+00:00,0.004600000000000001,TP,27.0,7,1,TREND,2026-08-12 23:13:00+00:00,fold1
NEARUSDT,2026-08-12 23:13:00+00:00,0.004600000000000001,TP,20.0,8,2,TREND,2026-08-12 23:13:00+00:00,fold1
NEARUSDT,2026-08-13 03:55:00+00:00,0.0005000000000000001,BE_STOP,41.0,6,0,TREND,2026-08-13 03:55:00+00:00,fold1
NEARUSDT,2026-08-13 03:55:00+00:00,0.0005000000000000001,BE_STOP,38.0,7,1,TREND,2026-08-13 03:55:00+00:00,fold1
NEARUSDT,2026-08-13 04:22:00+00:00,0.0005000000000000001,BE_STOP,59.0,8,2,TREND,2026-08-13 04:22:00+00:00,fold1
BTCUSDT,2026-08-13 05:15:00+00:00,0.004600000000000001,TP,837.0,6,4,,2026-08-13 05:15:00+00:00,fold1
BTCUSDT,2026-08-13 05:15:00+00:00,0.004600000000000001,TP,811.0,8,4,,2026-08-13 05:15:00+00:00,fold1
ETHUSDT,2026-08-13 05:22:00+00:00,0.0005000000000000001,BE_STOP,842.0,7,1,,2026-08-13 05:22:00+00:00,fold1
SOLUSDT,2026-08-13 06:35:00+00:00,0.0005000000000000001,BE_STOP,160.0,7,0,TREND,2026-08-13 06:35:00+00:00,fold1
ETHUSDT,2026-08-13 09:06:00+00:00,0.004600000000000001,TP,195.0,8,0,TREND,2026-08-13 09:06:00+00:00,fold1
ETHUSDT,2026-08-13 09:15:00+00:00,0.004600000000000001,TP,160.0,8,1,TREND,2026-08-13 09:15:00+00:00,fold1
SOLUSDT,2026-08-13 11:21:00+00:00,0.004600000000000001,TP,418.0,8,1,TREND,2026-08-13 11:21:00+00:00,fold1
NEARUSDT,2026-08-13 12:11:00+00:00,0.0005000000000000001,BE_STOP,494.0,8,1,TREND,2026-08-13 12:11:00+00:00,fold1
BTCUSDT,2026-08-13 13:24:00+00:00,0.0005000000000000001,BE_STOP,73.0,8,2,TREND,2026-08-13 13:24:00+00:00,fold1
SOLUSDT,2026-08-13 16:09:00+00:00,0.0005000000000000001,BE_STOP,326.0,7,3,TREND,2026-08-13 16:09:00+00:00,fold1
SOLUSDT,2026-08-13 16:09:00+00:00,0.0005000000000000001,BE_STOP,324.0,8,4,TREND,2026-08-13 16:09:00+00:00,fold1
BTCUSDT,2026-08-13 16:40:00+00:00,0.004600000000000001,TP,1538.0,8,6,,2026-08-13 16:40:00+00:00,fold1
SOLUSDT,2026-08-13 16:41:00+00:00,0.004600000000000001,TP,319.0,8,4,TREND,2026-08-13 16:41:00+00:00,fold1
NEARUSDT,2026-08-13 19:40:00+00:00,0.004600000000000001,TP,12.0,4,0,TREND,2026-08-13 19:40:00+00:00,fold1
NEARUSDT,2026-08-13 20:09:00+00:00,0.0005000000000000001,BE_STOP,31.0,5,1,TREND,2026-08-13 20:09:00+00:00,fold1
NEARUSDT,2026-08-13 21:58:00+00:00,0.0005000000000000001,BE_STOP,134.0,6,2,TREND,2026-08-13 21:58:00+00:00,fold1
NEARUSDT,2026-08-13 21:59:00+00:00,0.0005000000000000001,BE_STOP,138.0,5,1,TREND,2026-08-13 21:59:00+00:00,fold1
ETHUSDT,2026-08-14 04:06:00+00:00,0.0005000000000000001,BE_STOP,372.0,8,0,TREND,2026-08-14 04:06:00+00:00,fold1
