pair,ts,net_frac,gross_frac,exit_type,mfe,mae,tp_frac,lev,hold_min,regime,atr_frac,armed,post_arm_dd
NEARUSDT,2026-08-12 13:00:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.0032661948829613933,0.002116978164882392,0.006,10,15.0,,0.001637417805082449,False,0.0
SOLUSDT,2026-08-12 13:18:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.003407088310162651,0.0005091051497944191,0.006,10,20.0,,0.0008503734370192099,False,0.0
BTCUSDT,2026-08-12 13:33:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.0030804732656138562,0.0006885396402106922,0.006,10,27.0,,0.0006013290800155662,False,0.0
BTCUSDT,2026-08-12 13:43:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.0035168341312421135,0.0014313967591428648,0.006,10,51.0,,0.0008373414598195482,False,0.0
BTCUSDT,2026-08-12 13:45:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.003695680673213227,0.0012516621198973244,0.006,10,62.0,,0.0015564398395090072,False,0.0
ETHUSDT,2026-08-12 13:47:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.003653997378768035,0.0028519003931848255,0.006,10,60.0,,0.0013885040254634023,False,0.0
NEARUSDT,2026-08-12 13:56:00+00:00,0.004600000000000001,0.006,TP,0.007027747485762786,0.0021204410517386627,0.006,10,11.0,,0.001423724706167432,False,0.0
BTCUSDT,2026-08-12 14:02:00+00:00,0.004600000000000001,0.006,TP,0.0064114979008396645,0.0010480182926829041,0.006,10,59.0,,0.0005851454061232569,False,0.0
BTCUSDT,2026-08-12 14:03:00+00:00,0.004600000000000001,0.006,TP,0.006119447999537425,0.002536226788368094,0.006,10,73.0,,0.0008440694909620401,False,0.0
BTCUSDT,2026-08-12 14:03:00+00:00,0.004600000000000001,0.006,TP,0.006141191141058317,0.0008516410106556698,0.006,10,45.0,,0.0006749506148669639,False,0.0
SOLUSDT,2026-08-12 14:03:00+00:00,0.004600000000000001,0.006,TP,0.006058062993365022,0.0018620020455796583,0.006,10,20.0,,0.0015576003027158356,False,0.0
BTCUSDT,2026-08-12 14:11:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.005090424275048829,7.354747646084989e-05,0.006,10,14.0,,0.0009631589736527869,False,0.0
NEARUSDT,2026-08-12 14:31:00+00:00,0.004600000000000001,0.006,TP,0.0073398984647379106,0.0011009847697107003,0.006,10,20.0,,0.002009734103440152,False,0.0
SOLUSDT,2026-08-12 14:32:00+00:00,0.0005000000000000001,0.0019,BE_STOP,0.003072540978202156,0.004931889810504598,0.006,10,27.0,,0.0013422350993065563,False,0.0
NEARUSDT,2026-08-12 14:35:00+00:00,-0.0264,-0.025,MAE_KILL,0.0027203482045702883,0.025873534034578618,0.006,10,99.0,,0.001304039932984438,False,0.0
