variant,hyp,n,best,exp,ci_lo,pairs_pos,folds_pos,drop_max,folds
A_sweeponly,CONTINUATION,2001,t1.6_s2.0,-0.0012871898018742705,-0.00140044101170587,0,0,-0.0013581248517602323,"{'f1': np.float64(-0.0009435857729816847), 'f2': np.float64(-0.0014233804227733692), 'f3': np.float64(-0.001347241564958931)}"
A_sweeponly,REVERSAL,2001,t0.6_s1.0,-0.00131112483655607,-0.0014555293086846847,0,0,-0.001352252692896306,"{'f1': np.float64(-0.0014382733552613654), 'f2': np.float64(-0.0013377480034107714), 'f3': np.float64(-0.001198686216938471)}"
B_samebar,CONTINUATION,1698,t0.6_s2.0,-0.0013601827081958652,-0.001460098368401866,0,0,-0.0014361776103457952,"{'f1': np.float64(-0.0014231970171867637), 'f2': np.float64(-0.0013326886770511446), 'f3': np.float64(-0.0013535695397541337)}"
B_samebar,REVERSAL,1698,t1.6_s1.0,-0.0013590233661080302,-0.0014605595966561444,0,0,-0.0014021738747551694,"{'f1': np.float64(-0.0012023176122368184), 'f2': np.float64(-0.00138501937101181), 'f3': np.float64(-0.001423802149196711)}"
C_2bar,CONTINUATION,1904,t0.6_s2.0,-0.0013246745885996392,-0.0014211977876653129,0,0,-0.001408354477903734,"{'f1': np.float64(-0.001272122217301496), 'f2': np.float64(-0.0013504589727926766), 'f3': np.float64(-0.0013281447781222908)}"
C_2bar,REVERSAL,1904,t1.0_s1.0,-0.0013714194399038694,-0.0014504740703843745,0,0,-0.0014037029382721947,"{'f1': np.float64(-0.0013828182165605356), 'f2': np.float64(-0.0013973886725169886), 'f3': np.float64(-0.0013339527733019381)}"
D_displ,CONTINUATION,536,t1.0_s1.0,-0.001381152482919997,-0.001641927291179509,0,0,-0.0015431356946656774,"{'f1': np.float64(-0.0018304341799780988), 'f2': np.float64(-0.0013164630278680333), 'f3': np.float64(-0.001185477361281232)}"
D_displ,REVERSAL,534,t1.6_s1.0,-0.0014647529030532111,-0.001689917838225249,0,0,-0.001484297156036898,"{'f1': np.float64(-0.001776787436939408), 'f2': np.float64(-0.0011724603102416379), 'f3': np.float64(-0.0015598362688064827)}"
E_mss,CONTINUATION,1093,t1.0_s1.0,-0.0013188523653587,-0.0014586097280249065,0,0,-0.0013908372460578544,"{'f1': np.float64(-0.0013693366774641862), 'f2': np.float64(-0.0014421216047649182), 'f3': np.float64(-0.0011518641446914251)}"
E_mss,REVERSAL,164,t0.6_s2.0,-0.0010659087297780305,-0.0012820574266815784,0,0,-0.0013172166588272056,"{'f1': np.float64(-0.0010028055491751254), 'f2': np.float64(-0.0008774185412558183), 'f3': np.float64(-0.0013546689781623223)}"
