pair,ts,net_frac,gross_frac,exit_type,tp_mult,hold_min,regime,k,ts_parsed,fold
NEARUSDT,2026-08-12 13:00:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,15.0,,1.6,,
SOLUSDT,2026-08-12 13:18:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,20.0,,1.6,,
BTCUSDT,2026-08-12 13:33:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,27.0,,1.6,,
BTCUSDT,2026-08-12 13:43:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,51.0,,1.6,,
BTCUSDT,2026-08-12 13:45:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,62.0,,1.6,,
ETHUSDT,2026-08-12 13:47:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,60.0,,1.6,,
NEARUSDT,2026-08-12 13:56:00+00:00,0.004600000000000001,0.006,TP,1.6,11.0,,1.6,,
BTCUSDT,2026-08-12 14:02:00+00:00,0.004600000000000001,0.006,TP,1.6,59.0,,1.6,,
BTCUSDT,2026-08-12 14:03:00+00:00,0.004600000000000001,0.006,TP,1.6,73.0,,1.6,,
BTCUSDT,2026-08-12 14:03:00+00:00,0.004600000000000001,0.006,TP,1.6,45.0,,1.6,,
SOLUSDT,2026-08-12 14:03:00+00:00,0.004600000000000001,0.006,TP,1.6,20.0,,1.6,,
BTCUSDT,2026-08-12 14:11:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,14.0,,1.6,,
NEARUSDT,2026-08-12 14:31:00+00:00,0.004600000000000001,0.006,TP,1.6,20.0,,1.6,,
SOLUSDT,2026-08-12 14:32:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,27.0,,1.6,,
NEARUSDT,2026-08-12 14:35:00+00:00,-0.0264,-0.025,MAE_KILL,1.6,99.0,,1.6,,
NEARUSDT,2026-08-12 14:35:00+00:00,-0.0264,-0.025,MAE_KILL,1.6,62.0,,1.6,,
BTCUSDT,2026-08-12 14:59:00+00:00,0.004600000000000001,0.006,TP,1.6,50.0,,1.6,,
ETHUSDT,2026-08-12 15:02:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,27.0,,1.6,,
BTCUSDT,2026-08-12 15:18:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,71.0,,1.6,,
BTCUSDT,2026-08-12 15:18:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,45.0,,1.6,,
BTCUSDT,2026-08-12 15:18:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,41.0,,1.6,,
BTCUSDT,2026-08-12 15:43:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,72.0,,1.6,,
NEARUSDT,2026-08-12 17:21:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,118.0,,1.6,,
ETHUSDT,2026-08-12 20:27:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,185.0,,1.6,,
ETHUSDT,2026-08-12 20:29:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,330.0,,1.6,,
BTCUSDT,2026-08-12 20:38:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,395.0,,1.6,,
ETHUSDT,2026-08-12 21:06:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,39.0,CHOP,1.6,,
NEARUSDT,2026-08-12 21:59:00+00:00,0.004600000000000001,0.006,TP,1.6,53.0,CHOP,1.6,,
SOLUSDT,2026-08-13 04:22:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,464.0,CHOP,1.6,,
ETHUSDT,2026-08-13 05:06:00+00:00,0.004600000000000001,0.006,TP,1.6,517.0,CHOP,1.6,,
BTCUSDT,2026-08-13 05:15:00+00:00,0.004600000000000001,0.006,TP,1.6,837.0,,1.6,,
BTCUSDT,2026-08-13 05:15:00+00:00,0.004600000000000001,0.006,TP,1.6,811.0,,1.6,,
ETHUSDT,2026-08-13 05:22:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,842.0,,1.6,,
NEARUSDT,2026-08-13 08:48:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,213.0,CHOP,1.6,,
NEARUSDT,2026-08-13 09:09:00+00:00,0.004600000000000001,0.006,TP,1.6,21.0,CHOP,1.6,,
NEARUSDT,2026-08-13 09:14:00+00:00,0.004600000000000001,0.006,TP,1.6,231.0,CHOP,1.6,,
ETHUSDT,2026-08-13 11:45:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,150.0,CHOP,1.6,,
BTCUSDT,2026-08-13 11:47:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,445.0,CHOP,1.6,,
NEARUSDT,2026-08-13 11:51:00+00:00,0.004600000000000001,0.006,TP,1.6,6.0,CHOP,1.6,,
ETHUSDT,2026-08-13 12:07:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,177.0,CHOP,1.6,,
BTCUSDT,2026-08-13 12:31:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,40.0,CHOP,1.6,,
ETHUSDT,2026-08-13 12:32:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,45.0,TREND,1.6,,
NEARUSDT,2026-08-13 13:11:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,40.0,CHOP,1.6,,
BTCUSDT,2026-08-13 13:15:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,40.0,CHOP,1.6,,
ETHUSDT,2026-08-13 14:50:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,95.0,CHOP,1.6,,
BTCUSDT,2026-08-13 14:59:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,108.0,CHOP,1.6,,
NEARUSDT,2026-08-13 14:59:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,8.0,CHOP,1.6,,
NEARUSDT,2026-08-13 15:47:00+00:00,0.004600000000000001,0.006,TP,1.6,47.0,CHOP,1.6,,
NEARUSDT,2026-08-13 15:47:00+00:00,0.004600000000000001,0.006,TP,1.6,45.0,CHOP,1.6,,
NEARUSDT,2026-08-13 15:56:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,8.0,CHOP,1.6,,
NEARUSDT,2026-08-13 15:59:00+00:00,0.004600000000000001,0.006,TP,1.6,232.0,CHOP,1.6,,
BTCUSDT,2026-08-13 16:37:00+00:00,0.004600000000000001,0.006,TP,1.6,47.0,CHOP,1.6,,
BTCUSDT,2026-08-13 16:39:00+00:00,0.004600000000000001,0.006,TP,1.6,1119.0,CHOP,1.6,,
BTCUSDT,2026-08-13 16:39:00+00:00,0.004600000000000001,0.006,TP,1.6,39.0,CHOP,1.6,,
BTCUSDT,2026-08-13 16:39:00+00:00,0.004600000000000001,0.006,TP,1.6,37.0,CHOP,1.6,,
BTCUSDT,2026-08-13 16:40:00+00:00,0.004600000000000001,0.006,TP,1.6,1538.0,,1.6,,
NEARUSDT,2026-08-13 16:42:00+00:00,0.004600000000000001,0.006,TP,1.6,4.0,CHOP,1.6,,
XRPUSDT,2026-08-13 19:04:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,133.0,CHOP,1.6,,
BTCUSDT,2026-08-13 19:14:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,10.0,CHOP,1.6,,
BTCUSDT,2026-08-14 07:03:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,855.0,CHOP,1.6,,
BTCUSDT,2026-08-14 08:47:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,963.0,CHOP,1.6,,
BTCUSDT,2026-08-14 08:51:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,965.0,CHOP,1.6,,
BTCUSDT,2026-08-14 08:53:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,110.0,TREND,1.6,,
BTCUSDT,2026-08-14 13:47:00+00:00,-0.02154785408396109,-0.02014785408396109,MAX_AGE,1.6,2880.0,,1.6,,
BTCUSDT,2026-08-14 16:00:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,433.0,TREND,1.6,,
ETHUSDT,2026-08-14 16:06:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,434.0,CHOP,1.6,,
ETHUSDT,2026-08-14 16:47:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,46.0,CHOP,1.6,,
BTCUSDT,2026-08-14 17:56:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,542.0,TREND,1.6,,
SOLUSDT,2026-08-14 18:14:00+00:00,0.004600000000000001,0.006,TP,1.6,86.0,CHOP,1.6,,
ETHUSDT,2026-08-14 18:39:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,152.0,CHOP,1.6,,
BTCUSDT,2026-08-14 19:28:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,73.0,CHOP,1.6,,
ETHUSDT,2026-08-15 05:07:00+00:00,-0.008436945280502726,-0.007036945280502725,MAX_AGE,1.6,2880.0,CHOP,1.6,,
BTCUSDT,2026-08-15 05:18:00+00:00,-0.013430863617867047,-0.012030863617867047,MAX_AGE,1.6,2880.0,CHOP,1.6,,
ETHUSDT,2026-08-15 05:40:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,659.0,CHOP,1.6,,
BTCUSDT,2026-08-15 06:15:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,646.0,CHOP,1.6,,
SOLUSDT,2026-08-15 06:50:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,92.0,CHOP,1.6,,
ETHUSDT,2026-08-15 16:42:00+00:00,-0.011725591374778738,-0.010325591374778738,MAX_AGE,1.6,2880.0,CHOP,1.6,,
ETHUSDT,2026-08-15 19:14:00+00:00,-0.004091262403382052,-0.002691262403382052,MAX_AGE,1.6,2880.0,CHOP,1.6,,
SOLUSDT,2026-08-16 00:28:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,314.0,CHOP,1.6,,
ETHUSDT,2026-08-16 13:47:00+00:00,-0.007918842022446564,-0.006518842022446565,MAX_AGE,1.6,2880.0,CHOP,1.6,,
ETHUSDT,2026-08-16 17:11:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,2161.0,CHOP,1.6,,
ETHUSDT,2026-08-16 17:35:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,2084.0,CHOP,1.6,,
ETHUSDT,2026-08-16 17:56:00+00:00,-0.005801295877914654,-0.0044012958779146545,MAX_AGE,1.6,2880.0,CHOP,1.6,,
ETHUSDT,2026-08-16 18:04:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,257.0,CHOP,1.6,,
NEARUSDT,2026-08-16 20:52:00+00:00,0.004600000000000001,0.006,TP,1.6,176.0,CHOP,1.6,,
BTCUSDT,2026-08-16 21:40:00+00:00,0.004600000000000001,0.006,TP,1.6,269.0,TREND,1.6,,
BTCUSDT,2026-08-16 21:40:00+00:00,0.004600000000000001,0.006,TP,1.6,245.0,CHOP,1.6,,
ETHUSDT,2026-08-16 21:40:00+00:00,0.004600000000000001,0.006,TP,1.6,216.0,TREND,1.6,,
BTCUSDT,2026-08-16 21:47:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,2372.0,CHOP,1.6,,
BTCUSDT,2026-08-16 21:50:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,2410.0,CHOP,1.6,,
BTCUSDT,2026-08-16 21:50:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,1282.0,CHOP,1.6,,
BTCUSDT,2026-08-16 21:50:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,57.0,CHOP,1.6,,
BTCUSDT,2026-08-16 21:51:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,1749.0,CHOP,1.6,,
SOLUSDT,2026-08-16 22:05:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,15.0,TREND,1.6,,
