pair,ts,net_frac,exit_type,balance_after,hold_min,slots_at_entry,regime
NEARUSDT,2026-08-14 23:50:00+00:00,0.004600000000000001,TP,10.1518,20.0,3,
NEARUSDT,2026-08-15 00:09:00+00:00,0.004600000000000001,TP,10.3036,17.0,3,
NEARUSDT,2026-08-15 00:23:00+00:00,0.0013000000000000002,BE_STOP,10.346499999999999,13.0,3,
BTCUSDT,2026-08-15 03:26:00+00:00,0.0013000000000000002,BE_STOP,10.389399999999998,241.0,2,
BTCUSDT,2026-08-15 03:35:00+00:00,0.0013000000000000002,BE_STOP,10.432299999999998,258.0,1,
NEARUSDT,2026-08-15 05:24:00+00:00,0.004600000000000001,TP,10.584099999999998,109.0,3,
NEARUSDT,2026-08-15 05:39:00+00:00,0.0013000000000000002,BE_STOP,10.626999999999997,14.0,3,CHOP
SOLUSDT,2026-08-15 09:30:00+00:00,0.0013000000000000002,BE_STOP,10.669899999999997,546.0,3,
NEARUSDT,2026-08-15 23:14:00+00:00,0.0013000000000000002,BE_STOP,10.712799999999996,1055.0,3,CHOP
BTCUSDT,2026-08-16 16:30:00+00:00,0.004600000000000001,TP,10.864599999999996,1857.0,3,CHOP
BTCUSDT,2026-08-16 21:40:00+00:00,0.004600000000000001,TP,11.016399999999996,1344.0,3,CHOP
BTCUSDT,2026-08-16 21:47:00+00:00,0.0013000000000000002,BE_STOP,11.059299999999995,2541.0,3,
NEARUSDT,2026-08-16 21:59:00+00:00,-0.0264,MAE_KILL,10.188099999999995,329.0,3,CHOP
XRPUSDT,2026-08-16 22:42:00+00:00,0.0013000000000000002,BE_STOP,10.230999999999995,62.0,3,CHOP
BTCUSDT,2026-08-16 22:44:00+00:00,0.0013000000000000002,BE_STOP,10.273899999999994,57.0,3,TREND
ETHUSDT,2026-08-17 01:01:00+00:00,0.004600000000000001,TP,10.425699999999994,132.0,3,CHOP
BTCUSDT,2026-08-17 02:52:00+00:00,0.004600000000000001,TP,10.577499999999993,110.0,3,CHOP
