pair,i,side,price,atr,tp_dist,tp_frac,structure_quality,spike_risk_score,spike_bucket,move_potential,wall_ratio,overall_score,reason,mfe_frac,mae_frac,bars_held,main_correct,second_correct
NEARUSDT,139,long,1.6303,0.0024571428571428244,0.0097818,0.006,0.0,0.1899,low,0.9,,0.044,TP,0.006625,0.012084,46,True,True
NEARUSDT,154,long,1.6172,0.004207142857142854,0.0097032,0.006,0.0,0.2773,low,0.9,,0.0091,TP,0.00606,0.000866,15,True,True
NEARUSDT,166,long,1.6174,0.0020499999999999963,0.0097044,0.006,0.0,0.1463,low,0.9,,0.0615,TP,0.007976,0.00068,4,True,True
NEARUSDT,175,long,1.63,0.002321428571428617,0.009779999999999999,0.006,0.0,0.2728,low,0.9,,0.0109,TP,0.00681,0.0,10,True,True
NEARUSDT,190,long,1.6379,0.0018357142857142897,0.0098274,0.006,0.0,0.3995,medium,0.9,,-0.0398,TP,0.007326,0.00635,133,True,False
NEARUSDT,211,long,1.636,0.0020571428571428685,0.009816,0.006,0.0,0.6644,medium,0.15,0.5195599022004996,-0.7458,TP,0.006724,0.005196,108,True,False
NEARUSDT,223,short,1.6289,0.002214285714285708,0.0097734,0.006,0.0,0.271,low,0.9,1.872429246730921,0.0116,TIMEOUT,0.000859,0.016269,240,False,False
NEARUSDT,232,long,1.6315,0.0017428571428571096,0.009788999999999999,0.006,0.0,0.459,medium,0.4,0.9806926141587551,-0.4636,TP,0.006007,0.001839,66,True,False
NEARUSDT,235,short,1.6299,0.0016500000000000087,0.009779399999999999,0.006,0.0,0.0,low,0.9,1.9735362087653512,0.12,TIMEOUT,0.000859,0.015645,240,False,False
NEARUSDT,238,short,1.6291,0.0016642857142857212,0.0097746,0.006,0.0,0.1202,low,0.9,1.8926605692304506,0.0719,TIMEOUT,0.000123,0.016144,240,False,False
NEARUSDT,256,long,1.6353,0.0010999999999999582,0.0098118,0.006,0.0,0.1515,low,0.15,0.5911249719725257,-0.5406,TP,0.007155,0.002201,63,True,False
NEARUSDT,268,long,1.6334,0.0008999999999999801,0.0098004,0.006,0.0,0.4074,medium,0.4,0.7856822170523693,-0.443,TP,0.006245,0.000551,48,True,False
NEARUSDT,283,long,1.6349,0.0010428571428571232,0.009809400000000001,0.006,0.0,0.1598,low,0.15,0.6320468122413178,-0.5439,TP,0.007401,0.000122,36,True,False
NEARUSDT,286,long,1.637,0.0009714285714285438,0.009822000000000001,0.006,0.0,0.1373,low,0.15,0.41743025860313504,-0.5349,TP,0.006109,0.0,33,True,False
NEARUSDT,298,long,1.6411,0.0012928571428571592,0.0098466,0.006,0.0,0.1289,low,0.9,,0.0684,TP,0.007007,0.001219,30,True,True
NEARUSDT,313,short,1.6407,0.0008785714285714111,0.0098442,0.006,0.0,0.0,low,0.9,1.3408910830743077,0.12,TP,0.007131,0.00896,203,True,True
NEARUSDT,325,long,1.65,0.0012928571428571273,0.009899999999999999,0.006,0.0,0.1289,low,0.9,,0.0684,TIMEOUT,0.003273,0.017333,240,False,False
NEARUSDT,340,short,1.6482,0.0017285714285714285,0.0098892,0.006,0.0,0.2314,low,0.9,2.0931925737167982,0.0274,TP,0.007766,0.004368,79,True,True
NEARUSDT,343,short,1.6482,0.0014071428571428607,0.0098892,0.006,0.0,0.2606,low,0.9,2.0931925737167982,0.0158,TP,0.007766,0.004368,76,True,True
NEARUSDT,349,long,1.6488,0.0011357142857143035,0.0098928,0.006,0.0,0.4403,medium,0.9,,-0.0561,TIMEOUT,0.004003,0.022016,240,False,True
NEARUSDT,355,long,1.6534,0.0015214285714285783,0.0099204,0.006,0.0,0.3944,medium,0.9,,-0.0378,TIMEOUT,0.000605,0.024737,240,False,True
NEARUSDT,358,short,1.6524,0.0016928571428571468,0.0099144,0.006,0.0,0.3544,medium,0.9,2.5114984265311207,-0.0218,TP,0.006052,0.00121,53,True,False
NEARUSDT,364,long,1.6521,0.0023285714285714416,0.009912599999999999,0.006,0.0,0.1431,low,0.9,,0.0628,TIMEOUT,0.001392,0.023969,240,False,False
NEARUSDT,373,short,1.6513,0.0020499999999999963,0.0099078,0.006,0.0,0.2276,low,0.9,2.402147802741279,0.029,TP,0.009629,0.001575,46,True,True
NEARUSDT,376,short,1.6496,0.0017428571428571254,0.0098976,0.006,0.7,0.2486,low,0.9,2.2328645328160373,0.5806,TP,0.008608,0.001758,43,True,True
NEARUSDT,379,long,1.6512,0.0017499999999999658,0.0099072,0.006,1.0,0.3048,low,0.15,0.4239341085271299,0.1981,TIMEOUT,0.000666,0.023437,240,False,False
NEARUSDT,382,long,1.6513,0.0016999999999999555,0.0099078,0.006,1.0,0.1765,low,0.15,0.41381537778316,0.2494,TIMEOUT,0.000606,0.023497,240,False,False
NEARUSDT,385,short,1.6504,0.0019214285714285184,0.0099024,0.006,0.7,0.4511,medium,0.9,2.312570689933768,0.4996,TP,0.009089,0.001151,34,True,True
NEARUSDT,394,long,1.6497,0.00207857142857139,0.0098982,0.006,1.0,0.3207,low,0.15,0.5758622779899415,0.1917,TIMEOUT,0.0,0.02255,240,False,False
NEARUSDT,406,long,1.6455,0.001307142857142856,0.009873,0.006,1.0,0.255,low,0.65,1.0027347310847787,0.618,TIMEOUT,0.000182,0.020055,240,False,False
NEARUSDT,433,short,1.6347,0.0019285714285714223,0.009808200000000001,0.006,1.0,0.1901,low,0.4,0.7340796476417787,0.444,TP,0.006484,0.00679,118,True,True
NEARUSDT,448,long,1.6353,0.0010071428571428414,0.0098118,0.006,1.0,0.3972,medium,0.15,0.5911249719725257,0.1611,TP,0.006237,0.002385,25,True,True
NEARUSDT,457,short,1.6346,0.0012785714285714306,0.009807600000000001,0.006,1.0,0.2086,low,0.15,0.1631387903258744,0.2366,TP,0.006424,0.006852,94,True,True
NEARUSDT,466,long,1.634,0.0013428571428571376,0.009804,0.006,1.0,1.0,high,0.2,0.7241942064463592,-0.04,TP,0.00661,0.000734,6,True,False
NEARUSDT,469,long,1.6376,0.0017499999999999977,0.0098256,0.006,1.0,0.4,medium,0.15,0.3562123432665749,0.16,TIMEOUT,0.005801,0.015327,240,False,False
NEARUSDT,478,short,1.6408,0.0023428571428571227,0.0098448,0.006,1.0,0.2419,low,0.4,0.7922964407606075,0.4232,TP,0.007192,0.003047,38,True,True
NEARUSDT,484,short,1.6395,0.0015642857142857006,0.009837,0.006,1.0,0.3623,medium,0.15,0.6607705601301159,0.1751,TP,0.006404,0.003843,32,True,True
NEARUSDT,487,short,1.6379,0.0012642857142856861,0.0098274,0.006,1.0,0.29,low,0.15,0.4986059384984741,0.204,TP,0.006105,0.004823,36,True,True
NEARUSDT,490,short,1.6382,0.0012857142857142392,0.009829200000000001,0.006,1.0,0.4667,medium,0.15,0.5290359337484325,0.1333,TP,0.006165,0.004639,32,True,True
NEARUSDT,496,long,1.6432,0.0019214285714285184,0.0098592,0.006,1.0,0.4684,medium,0.65,1.2374229146381033,0.5326,TIMEOUT,0.005538,0.018683,240,False,False
NEARUSDT,502,short,1.6411,0.002142857142857129,0.0098466,0.006,1.0,0.3889,medium,0.4,0.8226189750776913,0.3644,TP,0.006033,0.000975,11,True,True
NEARUSDT,514,short,1.6326,0.0016571428571428967,0.0097956,0.006,1.0,0.2615,low,0.15,0.122503981379404,0.2154,TP,0.006738,0.0,39,True,True
NEARUSDT,517,short,1.6308,0.001357142857142882,0.0097848,0.006,1.0,0.3684,medium,0.15,0.33725778758892166,0.1726,TP,0.007726,0.001594,68,True,True
NEARUSDT,523,short,1.6297,0.0016071428571428706,0.009778199999999999,0.006,1.0,0.3733,medium,0.15,0.22499028451043954,0.1707,TP,0.007057,0.00227,62,True,True
NEARUSDT,547,long,1.6294,0.0009499999999999906,0.0097764,0.006,0.0,0.1754,low,0.65,1.1967595433902096,-0.1502,TP,0.006505,0.010372,135,True,False
NEARUSDT,607,long,1.6226,0.0012214285714285797,0.0097356,0.006,0.0,0.4094,medium,0.65,1.109330703808694,-0.2438,TP,0.006964,0.001294,53,True,False
NEARUSDT,613,long,1.6222,0.0012357142857142764,0.009733200000000001,0.006,0.0,0.3507,medium,0.65,1.1507006945300493,-0.2203,TP,0.007212,0.001048,47,True,False
NEARUSDT,622,long,1.6221,0.0011071428571428463,0.009732600000000001,0.006,0.7,0.6022,medium,0.65,1.161046380206714,0.2391,TP,0.007275,0.000493,38,True,True
NEARUSDT,625,long,1.6241,0.0011142857142857026,0.0097446,0.006,0.7,0.2692,low,0.4,0.9543747306200216,0.1723,TP,0.006034,0.001724,35,True,True
NEARUSDT,628,long,1.6234,0.0011000000000000057,0.0097404,0.006,0.7,0.2727,low,0.65,1.0266518828795541,0.3709,TP,0.006468,0.001294,32,True,True
NEARUSDT,637,short,1.6235,0.001435714285714302,0.009741,0.006,1.0,0.534,medium,0.65,1.1292475105225233,0.5064,TIMEOUT,0.000678,0.017739,240,False,False
NEARUSDT,640,long,1.6233,0.0013285714285714567,0.0097398,0.006,0.7,0.2007,low,0.65,1.036982278896897,0.3997,TP,0.00653,0.000554,20,True,True
NEARUSDT,643,long,1.6237,0.0012071428571428986,0.0097422,0.006,0.7,0.1933,low,0.4,0.9956683295354276,0.2027,TP,0.006282,0.000801,17,True,True
NEARUSDT,649,long,1.6251,0.0009357142857143096,0.0097506,0.006,0.7,0.3919,medium,0.4,0.851229667917869,0.1232,TP,0.006338,0.001661,21,True,True
NEARUSDT,655,short,1.624,0.0009928571428571287,0.009744000000000001,0.006,1.0,0.5372,medium,0.65,1.18021346469623,0.5051,TIMEOUT,0.0,0.017426,240,False,False
NEARUSDT,661,long,1.6317,0.001492857142857121,0.0097902,0.006,1.0,0.4242,medium,0.15,0.17364303078589147,0.1503,TP,0.006006,0.0,23,True,True
NEARUSDT,694,long,1.6419,0.0015357142857143227,0.0098514,0.006,1.0,0.369,medium,0.15,0.39588281868567055,0.1724,TP,0.006212,0.000426,21,True,True
NEARUSDT,697,short,1.6421,0.001421428571428637,0.0098526,0.006,0.4,0.2814,low,0.4,0.9236140714126105,-0.0726,TIMEOUT,0.005846,0.010231,240,False,True
NEARUSDT,715,long,1.6501,0.0016500000000000087,0.009900599999999999,0.006,1.0,0.4444,medium,0.15,0.5353210916510194,0.1422,TIMEOUT,0.005333,0.010666,240,False,False
NEARUSDT,724,long,1.6495,0.0017500000000000135,0.009897,0.006,1.0,0.4571,medium,0.15,0.5961402445185426,0.1372,TP,0.006608,0.010306,236,True,True
NEARUSDT,736,long,1.6486,0.0023214285714285537,0.0098916,0.006,1.0,0.1436,low,0.15,0.687451979457309,0.2626,TP,0.006248,0.009766,200,True,True
NEARUSDT,745,short,1.6444,0.0015000000000000252,0.0098664,0.006,0.4,0.1556,low,0.65,1.1554366334225326,0.1778,TP,0.00675,0.004135,115,True,True
NEARUSDT,754,short,1.6421,0.0012857142857143186,0.0098526,0.006,0.7,0.4407,medium,0.4,0.9236140714126105,0.1037,TIMEOUT,0.005846,0.015224,240,False,False
NEARUSDT,760,long,1.6491,0.0019142857142857572,0.0098946,0.006,1.0,0.3657,medium,0.15,0.323408727993056,0.1737,TP,0.006852,0.010066,200,True,True
NEARUSDT,769,short,1.6398,0.0018714285714285875,0.0098388,0.006,0.7,0.0534,low,0.15,0.6911411960808145,0.0586,TIMEOUT,0.004452,0.017075,240,False,False
NEARUSDT,775,short,1.6412,0.001128571428571463,0.0098472,0.006,0.7,0.443,medium,0.4,0.832724023072547,0.1028,TIMEOUT,0.005301,0.018036,240,False,False
NEARUSDT,790,long,1.6446,0.0009142857142857246,0.0098676,0.006,1.0,0.474,medium,0.15,0.12161011796180102,0.1304,TP,0.006081,0.007357,118,True,True
NEARUSDT,793,short,1.6434,0.001085714285714293,0.0098604,0.006,0.7,0.8596,medium,0.65,1.0547239462902078,0.1362,TP,0.006146,0.001278,67,True,True
NEARUSDT,799,short,1.6424,0.0010285714285714262,0.009854400000000001,0.006,0.7,0.0648,low,0.15,0.46679655788278934,0.0541,TP,0.006028,0.001887,64,True,True
NEARUSDT,817,short,1.6426,0.0013071428571429036,0.0098556,0.006,0.7,0.51,medium,0.15,0.48703275295264997,-0.124,TP,0.006149,0.001765,46,True,False
NEARUSDT,826,long,1.6437,0.0011428571428571757,0.0098622,0.006,1.0,0.2917,low,0.15,0.21293423374094936,0.2033,TP,0.006145,0.006814,81,True,True
NEARUSDT,829,short,1.6434,0.0010142857142857295,0.0098604,0.006,0.7,0.3286,low,0.15,0.5679282787716573,-0.0514,TP,0.006146,0.000669,31,True,False
NEARUSDT,850,short,1.6394,0.0008999999999999961,0.0098364,0.006,0.7,0.1481,low,0.15,0.05083160505875574,0.0208,TIMEOUT,0.004209,0.020739,240,False,False
NEARUSDT,859,short,1.6354,0.0010000000000000325,0.0098124,0.006,0.7,0.3,low,0.15,0.24458847988259322,-0.04,TIMEOUT,0.001773,0.023236,240,False,True
