1152 configs
0/1152 elapsed 2s
50/1152 elapsed 77s
100/1152 elapsed 153s
150/1152 elapsed 229s
200/1152 elapsed 305s
250/1152 elapsed 381s
300/1152 elapsed 457s
350/1152 elapsed 533s
400/1152 elapsed 609s
450/1152 elapsed 685s
500/1152 elapsed 761s
550/1152 elapsed 838s
600/1152 elapsed 916s
650/1152 elapsed 995s
700/1152 elapsed 1073s
750/1152 elapsed 1152s
800/1152 elapsed 1231s
850/1152 elapsed 1310s
900/1152 elapsed 1388s
950/1152 elapsed 1467s
1000/1152 elapsed 1545s
1050/1152 elapsed 1624s
1100/1152 elapsed 1702s
1150/1152 elapsed 1781s
DONE
